date, pm25, pm10, o3, no2, so2
2022/10/20, 52, 18, 12, 9, 
2022/10/21, 38, 17, 22, 5, 
2022/10/22, 39, 15, 18, 6, 
2022/10/23, 44, 14, 28, 3, 
2022/10/24, 24, 14, 21, 6, 
2022/10/26, 27, 17, 13, 9, 
2022/10/27, 29, 29, 18, 8, 
2022/10/28, 45, 23, 11, 10, 
2022/10/29, 43, 27, 16, 9, 
2022/10/30, 46, 23, 8, 11, 
2022/10/31, 49, 19, 25, 3, 
2022/11/1, 28, 17, 23, 4, 
2022/11/2, 21, 13, 20, 4, 
2022/11/3, 27, 14, 20, 10, 
2022/11/4, 30, 11, 14, 7, 
2022/11/5, 36, 11, 19, 3, 
2022/11/6, 30, 14, 20, 4, 
2022/11/7, 25, 12, 20, 5, 
2022/11/8, 22, 14, 23, 4, 
